id,name,user_id,task_id,task_type,category,pattern,frequency,accuracy,impact_score,last_seen,created_at,updated_at
1,pattern_thickness,1,1,wafer_dev,heuristics,薄型→高強度材,5,0.8,0.9,2024-03-01T00:00:00Z,2024-03-01T00:00:00Z,2024-03-01T00:00:00Z
2,pattern_crack,1,1,wafer_dev,heuristics,割れ→治具不足,4,0.7,0.7,2024-03-01T00:00:00Z,2024-03-01T00:00:00Z,2024-03-01T00:00:00Z
3,pattern_warp,1,1,wafer_dev,heuristics,反り→温度,6,0.75,0.6,2024-03-01T00:00:00Z,2024-03-01T00:00:00Z,2024-03-01T00:00:00Z
4,pattern_pressure,1,1,wafer_dev,heuristics,不良→圧力,7,0.8,0.7,2024-03-01T00:00:00Z,2024-03-01T00:00:00Z,2024-03-01T00:00:00Z
5,pattern_client,1,1,wafer_dev,heuristics,顧客要求→仕様変更,3,0.85,0.9,2024-03-01T00:00:00Z,2024-03-01T00:00:00Z,2024-03-01T00:00:00Z
6,pattern_machine,1,1,wafer_dev,heuristics,装置制限→工程変更,4,0.7,0.6,2024-03-01T00:00:00Z,2024-03-01T00:00:00Z,2024-03-01T00:00:00Z
7,pattern_reuse,1,1,wafer_dev,heuristics,過去成功→再利用,6,0.8,0.8,2024-03-01T00:00:00Z,2024-03-01T00:00:00Z,2024-03-01T00:00:00Z
8,pattern_material,1,1,wafer_dev,heuristics,新素材→効果大,2,0.9,0.9,2024-03-01T00:00:00Z,2024-03-01T00:00:00Z,2024-03-01T00:00:00Z
9,pattern_test,1,1,wafer_dev,heuristics,条件不足→試験追加,5,0.65,0.6,2024-03-01T00:00:00Z,2024-03-01T00:00:00Z,2024-03-01T00:00:00Z
10,pattern_cost,1,1,wafer_dev,heuristics,コスト増→再検討,3,0.6,0.5,2024-03-01T00:00:00Z,2024-03-01T00:00:00Z,2024-03-01T00:00:00Z
