id,user_id,task_id,effectiveness_score,effort_score,impact_score,qualitative_feedback,created_at,updated_at
1,1,1,0.6,0.5,0.7,薄型化は可能だが割れリスクあり,2024-03-01T00:00:00Z,2024-03-01T00:00:00Z
2,1,1,0.8,0.6,0.8,新素材使用で改善見込み,2024-03-01T00:00:00Z,2024-03-01T00:00:00Z
3,1,1,0.5,0.4,0.4,現行条件では不可,2024-03-01T00:00:00Z,2024-03-01T00:00:00Z
4,1,1,0.7,0.7,0.6,保持治具変更必要,2024-03-01T00:00:00Z,2024-03-01T00:00:00Z
5,1,1,0.9,0.8,0.9,高強度材採用で解決可能,2024-03-01T00:00:00Z,2024-03-01T00:00:00Z
6,1,1,0.4,0.3,0.3,装置限界あり,2024-03-01T00:00:00Z,2024-03-01T00:00:00Z
7,1,1,0.75,0.6,0.7,圧力制御改善必要,2024-03-01T00:00:00Z,2024-03-01T00:00:00Z
8,1,1,0.65,0.5,0.6,試験追加必要,2024-03-01T00:00:00Z,2024-03-01T00:00:00Z
9,1,1,0.82,0.7,0.85,新プロセス有効,2024-03-01T00:00:00Z,2024-03-01T00:00:00Z
10,1,1,0.55,0.5,0.5,コスト増加懸念,2024-03-01T00:00:00Z,2024-03-01T00:00:00Z
